#velocity	error_velocity	radius
87.270517251    31.779324832    0.2
99.904154779    36.379830059    0.3
108.04995222    39.346100352    0.4
113.61183944    41.37144667    0.5
117.4787415    42.779568685    0.6
120.14254914    43.749587093    0.7
121.90961306    44.393058682    0.8
122.98794521    44.785730442    0.9
123.52790775    44.982356352    1
123.64306961    45.024292238    1.1
123.42161281    44.943649337    1.2
122.93318608    44.765790052    1.3
122.23322314    44.510900425    1.4
121.36601811    44.195110037    1.5
120.36694926    43.831301797    1.6
119.26428134    43.429768229    1.7
118.0805993    42.99873359    1.8
116.83394786    42.544768812    1.9
115.53890204    42.073181349    2
114.2072503    41.588263938    2.1
112.84864056    41.093529845    2.2
111.47110653    40.59190452    2.3
110.08138712    40.085841924    2.4
108.68522142    39.577431929    2.5
108.67124615    39.572342873    2.501
108.65727797    39.567256395    2.502
108.64330157    39.562166929    2.503
108.62932518    39.557077464    2.504
108.61533875    39.551984343    2.505
108.60136534    39.546895963    2.50
108.58738486    39.541805009    2.507
108.57341033    39.536716219    2.508
108.55943169    39.531625937    2.509
108.54545717    39.526537151    2.51
108.53147854    39.521446871    2.511
108.51749992    39.516356593    2.512
108.50351308    39.511263326    2.513
108.48954635    39.506177378    2.514
108.4755625    39.501085196    2.515
108.46159167    39.495997755    2.516
108.44760486    39.490904494    2.517
108.43362696    39.48581448    2.518
108.41965797    39.480727712    2.519
108.40567301    39.475635124    2.52
108.39169992    39.470546863    2.521
108.37770789    39.4654517    2.522
108.3637307    39.460361947    2.523
108.34976357    39.455275854    2.524
108.33577338    39.450181363    2.525
108.32180215    39.445093778    2.526
108.30782385    39.440003616    2.527
108.29383961    39.434911292    2.528
108.27986725    39.429823296    2.529
108.26588188    39.424730561    2.53
108.25190543    39.419641072    2.531
108.23791893    39.414547925    2.532
108.22395139    39.409461684    2.533
108.20996489    39.404368539    2.534
108.19599028    39.399279723    2.535
108.18201271    39.394189825    2.536
108.16803399    39.389099515    2.537
108.15404935    39.384007043    2.538
108.14007361    39.378917817    2.539
108.12609377    39.373827095    2.54
108.11211804    39.368737871    2.541
108.0981341    39.363645656    2.542
108.08416729    39.358559679    2.543
